customer_id,customer_name,customer_type,country_of_residence,occupation_or_industry,branch_id,onboarding_channel,risk_rating,pep_flag,annual_income_or_turnover_gbp,relationship_start_date
C00152,Kestrel Tech LLP,Business,United Kingdom,Import/Export,BR09,Online,High,N,402000,2024-05-08
C00153,Omar Okafor,Individual,United Kingdom,Director,BR05,Online,Low,N,30500,2024-02-22
C00154,Maria Singh,Individual,United Kingdom,Retired,BR02,Online,Low,N,18700,2024-05-06
C00155,Luca Nowak,Individual,United Kingdom,Self-employed,BR02,Online,Low,N,120300,2025-04-07
C00156,Summit Capital Ltd,Business,United Kingdom,Technology,BR01,Online,Low,N,228000,2025-05-20
C00157,Brightwater Imports LLP,Business,UAE,Hospitality,BR09,Online,High,N,757000,2025-12-21
C00158,James Carter,Individual,United Kingdom,Retired,BR02,Branch,Low,N,15200,2025-11-27
C00159,Sofia Nowak,Individual,Ireland,Retired,BR10,Online,Low,N,23000,2024-08-13
C00160,Olivia Okafor,Individual,Ireland,Employee,BR02,Online,Low,N,58600,2024-10-11
C00161,Priya Mensah,Individual,UAE,Employee,BR07,Online,Medium,N,49600,2025-07-18
C00162,Brightwater Trading PLC,Business,India,Professional Services,BR01,Branch,Medium,N,1984000,2025-07-19
C00163,Amir Singh,Individual,UAE,Employee,BR04,Online,Medium,N,58700,2024-08-17
C00164,James Patel,Individual,Ireland,Retired,BR03,Branch,Low,N,15700,2024-01-23
C00165,Bluefield Property LLP,Business,United Kingdom,Retail,BR03,Online,Medium,N,3388000,2024-03-11
C00166,Aisha Wright,Individual,United Kingdom,Student,BR10,Online,Low,N,45500,2025-08-25
C00167,Ravi Fraser,Individual,United Kingdom,Property Investor,BR07,Online,Low,N,30400,2024-09-11
C00168,Zara Ali,Individual,United Kingdom,Employee,BR02,Introducer,Low,N,72700,2025-06-12
C00169,Maria Hughes,Individual,United Kingdom,Employee,BR07,Relationship Manager,Low,N,49600,2025-08-08
C00170,Maria Carter,Individual,United Kingdom,Self-employed,BR01,Introducer,Low,N,88900,2025-10-17
C00171,Mei Murray,Individual,United Kingdom,Retired,BR09,Introducer,Low,N,42100,2024-12-25
C00172,Grace Walsh,Individual,United Kingdom,Employee,BR03,Branch,Low,N,43600,2025-04-10
C00173,Maria Reid,Individual,United Kingdom,Employee,BR02,Branch,Low,N,33800,2024-05-22
C00174,Maria Nowak,Individual,India,Self-employed,BR02,Branch,Low,N,47000,2025-11-19
C00175,James Nowak,Individual,United Kingdom,Director,BR01,Branch,Low,N,111200,2025-10-07
C00176,Jack Evans,Individual,Nigeria,Employee,BR09,Relationship Manager,Medium,N,29700,2024-10-11
C00177,Daniel Singh,Individual,United Kingdom,Employee,BR02,Relationship Manager,Low,N,59200,2024-09-25
C00178,Sofia Reid,Individual,UAE,Property Investor,BR01,Online,Medium,N,23700,2025-06-19
C00179,Thistle Logistics PLC,Business,Nigeria,Professional Services,BR08,Relationship Manager,High,N,1944000,2024-10-29
C00180,Oakline Trading Ltd,Business,United Kingdom,Retail,BR02,Online,Low,N,594000,2025-06-14
C00181,Olivia Hughes,Individual,Russia,Self-employed,BR01,Online,Medium,N,50100,2024-03-07
C00182,James Evans,Individual,United Kingdom,Employee,BR06,Branch,Low,N,37600,2024-07-15
C00183,Zara Khan,Individual,United Kingdom,Employee,BR01,Introducer,Low,N,16400,2025-07-24
C00184,Olivia Nowak,Individual,Nigeria,Self-employed,BR08,Online,Medium,N,48200,2025-11-03
C00185,Jack Mensah,Individual,United Kingdom,Self-employed,BR05,Online,Low,N,47100,2024-01-20
C00186,Jack Ali,Individual,United Kingdom,Employee,BR02,Branch,Low,N,23500,2025-07-23
C00187,Luca Doyle,Individual,United Kingdom,Employee,BR04,Relationship Manager,Low,N,17800,2024-02-20
C00188,Ethan Singh,Individual,United Kingdom,Self-employed,BR02,Relationship Manager,Low,N,34500,2025-09-25
C00189,Sofia Evans,Individual,United Kingdom,Self-employed,BR04,Online,Low,N,59400,2024-07-04
C00190,Olivia Okafor,Individual,United Kingdom,Retired,BR05,Introducer,Low,N,51500,2024-09-22
C00191,Ironbridge Retail Ltd,Business,United Kingdom,Import/Export,BR07,Online,Medium,N,369000,2025-06-08
C00192,Olivia Patel,Individual,United Kingdom,Self-employed,BR04,Introducer,Low,N,43600,2025-09-06
C00193,Ironbridge Consulting Ltd,Business,United Kingdom,Technology,BR07,Online,Medium,N,1074000,2024-10-30
C00194,James Walsh,Individual,United Kingdom,Retired,BR01,Online,Low,N,19900,2024-08-18
C00195,Redwood Construction PLC,Business,France,Retail,BR09,Relationship Manager,Medium,N,1972000,2025-12-17
C00196,Harbour Construction LLP,Business,United Kingdom,Crypto Assets,BR02,Relationship Manager,Medium,N,3940000,2025-12-05
C00197,Brightwater Holdings Ltd,Business,United Kingdom,Technology,BR08,Branch,Low,N,1176000,2025-01-18
C00198,Pinnacle Foods Ltd,Business,India,Construction,BR04,Relationship Manager,Medium,N,936000,2024-01-18
C00199,Larkspur Retail LLP,Business,United States,Retail,BR01,Online,Medium,N,1252000,2025-12-09
C00200,Zara Hughes,Individual,United Kingdom,Self-employed,BR03,Branch,Low,N,35100,2025-03-28
C00201,Bluefield Capital LLP,Business,United Kingdom,Hospitality,BR09,Online,Medium,N,628000,2025-02-08
C00202,Sofia Lopez,Individual,Nigeria,Student,BR08,Online,Medium,N,74600,2024-03-23
C00203,James Patel,Individual,Pakistan,Employee,BR07,Online,Medium,N,35900,2025-12-27
C00204,Chen Evans,Individual,United Kingdom,Employee,BR03,Online,Low,N,9800,2025-06-09
C00205,Oakline Holdings Ltd,Business,United Kingdom,Professional Services,BR05,Branch,Medium,N,579000,2024-06-08
C00206,Daniel Ali,Individual,United Kingdom,Senior Public Official,BR02,Branch,High,Y,53200,2024-09-22
C00207,Zara Reid,Individual,United Kingdom,Employee,BR06,Relationship Manager,Low,N,62600,2024-09-08
C00208,Omar Rossi,Individual,United States,Student,BR02,Branch,Low,N,23700,2025-09-28
C00209,Jack Ali,Individual,Germany,Employee,BR08,Online,Low,N,34100,2024-12-13
C00210,Priya Khan,Individual,United Kingdom,Employee,BR06,Online,Low,N,72100,2025-09-29
C00211,Ravi Mensah,Individual,Ireland,Employee,BR03,Branch,Low,N,38700,2025-05-17
C00212,Aisha Okafor,Individual,UAE,Employee,BR06,Branch,Medium,N,16000,2024-09-26
C00213,Priya Nowak,Individual,United Kingdom,Self-employed,BR03,Online,Low,N,84300,2024-10-23
C00214,Nadia Ali,Individual,Nigeria,Self-employed,BR01,Relationship Manager,Medium,N,35300,2025-08-15
C00215,Maria Lopez,Individual,United Kingdom,Employee,BR02,Introducer,Low,N,77200,2024-12-31
C00216,Omar Doyle,Individual,United Kingdom,Employee,BR02,Online,Low,N,17400,2025-05-12
C00217,Amir Brooks,Individual,United Kingdom,Student,BR02,Branch,Low,N,37300,2024-03-30
C00218,Hannah Doyle,Individual,United Kingdom,Student,BR06,Online,Low,N,54500,2024-11-07
C00219,Daniel Murray,Individual,Russia,Employee,BR07,Online,Medium,N,38100,2025-02-25
C00220,Pinnacle Trading LLP,Business,United Kingdom,Import/Export,BR04,Online,High,N,77000,2024-09-07
C00221,Bluefield Retail Ltd,Business,United Kingdom,Retail,BR10,Online,Low,N,625000,2025-09-11
C00222,James Khan,Individual,United Kingdom,Employee,BR09,Online,Low,N,100100,2024-06-02
C00223,Chen Evans,Individual,United Kingdom,Self-employed,BR01,Online,Low,N,46600,2025-09-12
C00224,Sofia Murray,Individual,United Kingdom,Self-employed,BR04,Relationship Manager,Low,N,80800,2024-02-16
C00225,Kestrel Motors Ltd,Business,India,Technology,BR09,Online,Medium,N,4244000,2024-11-08
C00226,Maria Brooks,Individual,United Kingdom,Employee,BR02,Online,Low,N,57400,2025-01-13
C00227,Meridian Holdings PLC,Business,United Kingdom,Real Estate,BR03,Relationship Manager,High,N,918000,2024-07-04
C00228,Hannah Khan,Individual,United Kingdom,Self-employed,BR10,Online,Low,N,53800,2025-01-29
C00229,Priya Khan,Individual,United Kingdom,Employee,BR07,Branch,Low,N,94800,2025-10-20
C00230,Sofia Brooks,Individual,Ireland,Employee,BR08,Branch,Low,N,42200,2024-11-20
C00231,Larkspur Imports Ltd,Business,United Kingdom,Money Services,BR08,Online,Medium,N,1269000,2025-01-29
C00232,Daniel Lopez,Individual,United Kingdom,Employee,BR01,Online,Low,N,16300,2025-11-25
C00233,Daniel Brooks,Individual,France,Employee,BR06,Online,Low,N,15300,2025-11-06
C00234,Meridian Consulting PLC,Business,India,Professional Services,BR08,Branch,Medium,N,139000,2024-01-11
C00235,Aisha Nowak,Individual,UAE,Director,BR02,Branch,Medium,N,24600,2025-06-14
C00236,Aisha Singh,Individual,United Kingdom,Employee,BR01,Online,Low,N,136800,2025-09-13
C00237,James Reid,Individual,United Kingdom,Employee,BR01,Online,Low,N,89500,2025-11-19
C00238,Silverline Trading Ltd,Business,France,Retail,BR07,Online,Low,N,454000,2025-08-08
C00239,Hannah Carter,Individual,United Kingdom,Employee,BR06,Online,Low,N,68200,2024-03-01
C00240,Harbour Foods LLP,Business,Ireland,Professional Services,BR09,Online,Medium,N,1018000,2025-07-08
C00241,Ravi Singh,Individual,United Kingdom,Self-employed,BR02,Online,High,Y,14800,2025-09-09
C00242,Brightwater Trading PLC,Business,India,Retail,BR05,Online,Medium,N,2402000,2025-01-18
C00243,Pinnacle Motors LLP,Business,United Kingdom,Construction,BR01,Online,Medium,N,615000,2024-01-16
C00244,Sofia Walsh,Individual,United Kingdom,Employee,BR09,Branch,Low,N,103900,2024-05-19
C00245,Northgate Consulting Ltd,Business,United Kingdom,Hospitality,BR05,Online,Low,N,906000,2024-07-20
C00246,Larkspur Property Ltd,Business,United Kingdom,Retail,BR07,Branch,Medium,N,329000,2025-09-22
C00247,Brightwater Motors LLP,Business,Germany,Money Services,BR02,Online,Medium,N,313000,2024-04-01
C00248,Chen Brooks,Individual,United Kingdom,Self-employed,BR01,Online,Low,N,53100,2025-06-28
C00249,Nadia Walsh,Individual,United Kingdom,Student,BR01,Online,Low,N,35500,2024-05-10
C00250,Luca Shah,Individual,Pakistan,Employee,BR08,Relationship Manager,Medium,N,94400,2025-08-31
C00251,Jack Ali,Individual,India,Retired,BR01,Online,Low,N,92500,2024-01-09
C00252,Tom Nowak,Individual,United Kingdom,Self-employed,BR08,Branch,Low,N,44100,2024-06-21
C00253,Sofia Reid,Individual,Hong Kong,Employee,BR02,Relationship Manager,Low,N,28000,2024-03-15
C00254,Amir Murray,Individual,United Kingdom,Employee,BR04,Online,Low,N,87900,2025-02-09
C00255,Nadia Hughes,Individual,Nigeria,Student,BR02,Online,Medium,N,11900,2025-07-24
C00256,Mei Wright,Individual,United Kingdom,Employee,BR01,Branch,Low,N,52400,2024-10-31
C00257,Northgate Holdings PLC,Business,United Kingdom,Construction,BR04,Online,Low,N,377000,2025-01-25
C00258,Larkspur Capital Ltd,Business,United Kingdom,Money Services,BR03,Online,Medium,N,4430000,2025-04-12
C00259,Olivia Fraser,Individual,United Kingdom,Employee,BR03,Relationship Manager,Low,N,72000,2024-11-28
C00260,Amir Patel,Individual,United Kingdom,Property Investor,BR05,Online,Low,N,39500,2025-07-04
C00261,Meridian Property PLC,Business,United Kingdom,Professional Services,BR02,Online,Low,N,2590000,2024-07-26
C00262,Hannah Patel,Individual,Ireland,Employee,BR05,Relationship Manager,Low,N,71500,2024-05-06
C00263,Luca Mensah,Individual,United Kingdom,Employee,BR06,Relationship Manager,Low,N,20900,2024-05-16
C00264,Tom Ali,Individual,United Kingdom,Employee,BR01,Branch,Low,N,67600,2024-05-07
C00265,Maria Shah,Individual,Hong Kong,Senior Public Official,BR03,Online,High,Y,12200,2024-01-28
C00266,James Reid,Individual,Ireland,Retired,BR01,Branch,Low,N,47600,2024-02-01
C00267,Larkspur Construction LLP,Business,Cyprus,Technology,BR01,Online,Medium,N,233000,2024-02-08
C00268,Luca Murray,Individual,United Kingdom,Employee,BR01,Relationship Manager,Low,N,29000,2024-04-24
C00269,Sofia Reid,Individual,United Kingdom,Employee,BR05,Relationship Manager,Low,N,50700,2025-04-08
C00270,Silverline Tech Ltd,Business,United Kingdom,Construction,BR01,Relationship Manager,Medium,N,879000,2024-06-24
